business_id,name,address,city,postal_code,latitude,longitude,stars,review_count,hours,source
9Rww8yE6Dm4dSMEq09nwXg,Holly Nails & Spa,9101 Belcher Rd,Pinellas Park,33782,27.8553467494,-82.7363080904,4.5,16,"{'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-19:0', 'Sunday': '10:0-17:0'}",Y
my0bmPD5dgDFE1ia__LNlw,Nails & Beauty Lounge,953 E Brandon Blvd,Brandon,33511,27.9371659,-82.2699586,3.5,84,"{'Monday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-19:0', 'Sunday': '11:0-17:0'}",Y
CLEWowfkj-wKYJlQDqT1aw,Blow Bar Express Styling Salon,"310 S Dale Mabry Hwy, Ste 110",Tampa,33609,27.9419745389,-82.5053069603,4.0,55,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-16:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '11:0-17:0'}",Y
gbetDRjllP5cOxaWxFjGHA,Pretty Nails,5316 Little Rd,New Port Richey,34655,28.237112,-82.6680235,3.0,6,,Y
FYzZd2mlMIPScy95UY2xkw,McMahan Hair Salon,10464 Roosevelt Blvd N,St. Petersburg,33716,27.8669377,-82.6450314,4.0,11,"{'Monday': '0:0-0:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-17:0'}",Y
wcppVzRVOFwZp3-Qdwb_TQ,Rituals Aveda Salon,2760 Gulf To Bay Blvd,Clearwater,33759,27.961201,-82.72336,4.5,18,"{'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-17:0'}",Y
ZLerfIo2cDSPXJ9K57WYxQ,Studio510,510 S Howard Ave,Tampa,33611,27.887178,-82.493669,4.5,12,"{'Tuesday': '9:0-19:30', 'Wednesday': '9:0-19:30', 'Thursday': '9:0-19:30', 'Friday': '9:0-18:0', 'Saturday': '9:0-17:0'}",Y
EDODTmZbECNOErpUFgYk9Q,Heavenly Nails I,3222 Little Rd,Trinity,34655,28.204841,-82.662792,4.0,16,"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-18:0'}",Y
8UDUCZcdrAL43UaaQWHQ6w,Busy Nails,11220 Dr Mlk Jr Blvd E,Seffner,33584,27.9831695,-82.3090335,2.5,22,,Y
XUTboDILPqOYaEfR6yuPww,MY SALON Suite® of St. Petersburg,415 3rd St S,St. Petersburg,33701,27.7668417,-82.6372086,4.5,6,,Y
4Wwzk7wkTNZ8Gy0rekLPeQ,Lily,3944 W Hillsborough Ave,Tampa,33614,27.9947519297,-82.5107493997,2.5,12,,Y
DXnonn36Ug-YP9-xE4oIeA,Ambiance Salon & Spa,Pavillion Crossing Plz,Riverview,33578,27.9133179,-82.3484738,3.5,11,"{'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-17:0'}",Y
DTW52w2NNaAf21pwlNSwHg,Salon Lofts Tyrone Square,7145 22nd Ave N,Saint Petersburg,33710,27.7924565,-82.7377065,4.5,8,"{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-17:0'}",Y
JdRP7ZppyhhnK955Qcp20w,Paola Beauty Boutique,"3802 Ehrlich Rd, Ste 202",Tampa,33624,28.084008,-82.507169,5.0,36,"{'Monday': '0:0-0:0', 'Tuesday': '9:30-17:30', 'Wednesday': '9:30-17:30', 'Thursday': '9:30-17:30', 'Friday': '9:30-17:30', 'Saturday': '10:0-14:0'}",Y
WARb17HevgrkmZDDRXRhGw,Badar's Hair & All,1820 Bruce B Downs Blvd,Wesley Chapel,33544,28.1837851,-82.3508685,4.0,71,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '12:0-19:0'}",Y
9NGdhURHVcGeiG0-HDmESg,Joy's Nails,905 Sr 60,Brandon,33511,27.936692,-82.270246,3.5,5,,Y
vnR7xIHTh2sh55cqJNVFEw,AJ's Nail Spa,2005 E Hillsborough Ave,Tampa,33610,27.99562,-82.436028,2.5,16,"{'Monday': '9:0-19:30', 'Tuesday': '9:0-19:30', 'Wednesday': '9:0-19:30', 'Thursday': '9:0-19:30', 'Friday': '9:0-19:30', 'Saturday': '9:0-19:30', 'Sunday': '11:0-17:0'}",Y
7m6eMVvrMx1DKiXxocYaNg,Heaven Nails & Spa,"5132 Land O Lakes Blvd, Ste 108",Land O Lakes,34639,28.232546,-82.458244,4.0,15,"{'Monday': '10:0-18:30', 'Tuesday': '10:0-18:30', 'Wednesday': '10:0-18:30', 'Thursday': '10:0-18:30', 'Friday': '9:30-18:0', 'Saturday': '9:30-18:0'}",Y
YVCkBdxbgQlPM-yU_Y7Cug,Love Nail & Spa,7869 Gunn Hwy,Tampa,33626,28.080376,-82.577286,4.0,115,"{'Monday': '0:0-0:0', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:0-18:0', 'Sunday': '11:0-17:0'}",Y
IgCwdvf8RTNUkcUhylBGBg,Manhattan Nails Salon,3511 S Manhattan Ave,Tampa,33629,27.9110887,-82.5183204,4.0,134,"{'Monday': '0:0-0:0', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:30-18:30', 'Sunday': '11:0-17:0'}",Y
MIpB_MNDNmtB61hu3yFqVQ,Diva Nail & Spa,6432 N US Hwy 41,Apollo Beach,33572,27.771034,-82.3921498,2.5,24,,Y
EIy9vk7eeIpPHRjD1-PnNw,K's Luxury Nails,11108 Bloomingdale Ave,Riverview,33578,27.8940307907,-82.3177493,4.5,110,"{'Monday': '0:0-0:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-18:0', 'Saturday': '9:30-19:0', 'Sunday': '11:0-17:0'}",Y
ITArphz6LYBkall0VZYVKw,City Nails,"2525 E Hillsborough Ave, Ste 143",Tampa,33610,27.995016,-82.432141,1.5,7,"{'Monday': '9:0-19:30', 'Tuesday': '9:0-19:30', 'Wednesday': '9:0-19:30', 'Thursday': '9:0-19:30', 'Friday': '9:0-19:30', 'Saturday': '9:0-19:30', 'Sunday': '11:0-16:30'}",Y
mzDiq3PKYqQBV2pdXLAjFw,Daba Nails & Waxing,"4644 W Gandy Blvd, Ste 6",Tampa,33611,27.89424,-82.524468,4.5,15,,Y
tH5iprojwzyheG05S4pA4A,Rosy Nails,13352 Lincoln Rd,Riverview,33578,27.7902942438,-82.3426230294,3.5,7,,Y
jmk0b8HZot9h8q6Y12PvNg,Number One Nail Salon,8462 Seminole Blvd,Seminole,33772,27.849197,-82.787362,4.5,23,"{'Monday': '9:30-19:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-18:0'}",Y
77AGvT1KkYZJtyr6egeiZg,TT Nails,9301 N 56th St,Temple Terrace,33617,28.0342408,-82.3933612,3.0,19,"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0'}",Y
bP8Y5cHMda64Z3tGA-cYzw,Glossy 130 Nails & Spa,35817 US Hwy 19 N,Palm Harbor,34684,28.0980134,-82.739562,4.0,172,"{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '11:0-17:0'}",Y
_WlLuhqMZYu2VEhwiSnjXA,Rose Nail & Spa,17689 Dale Mabry Hwy N,Lutz,33548,28.122872,-82.502323,2.5,24,,Y
LNcfd-D47Kj9vYfC3cK9Lg,Concept Nails & Day Spa,2693 Roosevelt Blvd,Clearwater,33760,27.9161568,-82.7257084,3.5,19,,Y
WO_wZUmLvbIyaTZYeaS--Q,Nail Pro -Brandon Mall,459 Brandon Town Center Dr,Brandon,33511,27.93023,-82.32463,2.5,8,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}",Y
phhhWAJiNCVeTMJPNoR8Bw,Noire Nail Bar,10195 Bay Pines Blvd,Saint Petersburg,33708,27.814391,-82.7801528,4.0,45,"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '11:0-17:0'}",Y
2k3DNNMHtVwk09BoSCxEHQ,Urban Savvy Nail Spa,10342 Roosevelt Blvd N,St Petersburg,33716,27.8658949,-82.6435678,5.0,16,"{'Monday': '10:0-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30', 'Saturday': '10:0-18:30', 'Sunday': '11:0-17:0'}",Y
cV6qQ58k6hPYci5n8jxX5Q,Bali Nail Spa,3969 Van Dyke Rd,Lutz,33558,28.1279776,-82.5048267,4.5,51,"{'Monday': '0:0-0:0', 'Tuesday': '9:30-19:0', 'Wednesday': '9:30-19:0', 'Thursday': '9:30-19:0', 'Friday': '9:30-19:0', 'Saturday': '9:30-18:30', 'Sunday': '11:0-17:0'}",Y
3pxDvNe2bHkT5hEFssrfUA,Salon 427,4399 Commercial Way,Spring Hill,34606,28.4949470606,-82.5987853158,4.0,44,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '8:0-17:0'}",Y
U3Lk8KJAa_XKeMfDiHRXNA,Blue J Nails,166 N Parsons Ave,Brandon,33510,27.9397459508,-82.286116659,4.0,20,"{'Monday': '9:30-20:0', 'Tuesday': '9:30-20:0', 'Wednesday': '9:30-20:0', 'Thursday': '9:30-20:0', 'Friday': '9:30-20:0', 'Saturday': '9:30-20:0', 'Sunday': '10:0-18:0'}",Y
cn1yw-FBNxGYT4PCaQS-eg,Posh Nails & Spa,5064 N US Hwy 41,Apollo Beach,33572,27.7375154718,-82.4299781546,3.5,30,"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:0-19:0', 'Sunday': '11:0-17:0'}",Y
DbHJRVWZXx64_5f2M-RUJA,CT Nail Studio,"14100 Walsingham Rd, Ste 3, Sabala Plaza",Largo,33774,27.8798836,-82.8342737,4.5,8,"{'Monday': '0:0-0:0', 'Tuesday': '9:30-18:30', 'Wednesday': '9:30-18:30', 'Thursday': '9:30-18:30', 'Friday': '9:30-18:30', 'Saturday': '9:30-18:0', 'Sunday': '0:0-0:30'}",Y
7e_KHdnAy5wwyHbCwvG8cQ,Nail Image & Tan,2784 E Fowler Ave,Tampa,33612,28.0556155,-82.4274852,3.0,28,"{'Monday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30', 'Saturday': '10:0-19:30', 'Sunday': '11:0-16:0'}",Y
NEqlF-UdizoKZ3SEwh5VEg,Envy Nail Bar,3321 Tampa Rd,Palm Harbor,34684,28.0682374,-82.7238129,4.0,42,"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:30-19:30', 'Sunday': '11:0-17:0'}",Y
oLdqWw3Ct6Vh7k2cVjqSsw,Aj's Nail Spa,3611 W Hillsborough Ave,Tampa,33614,27.9974204692,-82.5018532262,1.5,6,,Y
z-s_l9SLZiqhAArcdkYOaw,Pia Esthetics Day Spa,1032 Mlk Jr St N,St. Petersburg,33705,27.7827375,-82.6468712,4.5,94,"{'Monday': '0:0-0:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-18:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '9:0-18:0'}",Y
4HHolU9V3HaBsVf9BuHcEg,The Pamper Stop,146 W Robertson St,Brandon,33511,27.9361511,-82.2877328,2.0,36,"{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '7:0-20:0'}",Y
wd-7MEBIsOLVnYaw9BOy1w,Ombre Nails Spa,5719 Gunn Hwy,Tampa,33625,28.0631642,-82.5426435,3.5,5,"{'Monday': '9:30-19:30', 'Tuesday': '9:30-19:30', 'Wednesday': '9:30-19:30', 'Thursday': '9:30-19:30', 'Friday': '9:30-19:30', 'Saturday': '9:0-18:30', 'Sunday': '11:0-17:0'}",Y
oLUopPGK25ty8bNPaDaTLQ,Lili Nails,8614 Citrus Park Dr,Tampa,33625,28.0649311,-82.5806857,3.5,17,,Y
vvnbAFb-aY1ykHdq9oMB_w,Elite Nails,2552 E Bearss Ave,Tampa,33613,28.053371,-82.395311,3.0,11,"{'Monday': '10:0-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '10:0-19:30', 'Friday': '10:0-19:30', 'Saturday': '9:0-19:0', 'Sunday': '11:0-16:30'}",Y
rugMei20nwoL-Qi-mpuxVA,Pink & White Nail,7650 66th St N,Pinellas Park,33781,27.8415258,-82.7286554,3.0,20,"{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '11:0-17:0'}",Y
-jX7VpT9VJ5KnyawzzBUsw,Island Nails & Spa Salon,290 Windward Passage,Clearwater Beach,33767,27.977641324,-82.8172916815,4.0,10,"{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-18:0', 'Sunday': '11:0-16:0'}",Y
