user_id,business_id,review_stars
6Mhbp06FEhD9uxUGCCUmKA,fBNjTSdPJ1mtTzIHYpQnDw,1.0
-FFgJuDZLmcZtrxDTRC7sg,my0bmPD5dgDFE1ia__LNlw,5.0
g34LsuGf9gj9h5wqhye-Jw,bP8Y5cHMda64Z3tGA-cYzw,5.0
HPTlXpHuvS57z2ZddDZ1qw,pSFiOUTMtyoSBpZ_T13rUA,5.0
EavRoE6lTQi4CECEqhvxaA,bP8Y5cHMda64Z3tGA-cYzw,5.0
1B2y3s0Y0saPcmWkT3iU5Q,7m6eMVvrMx1DKiXxocYaNg,5.0
u2AMLoOVIxA5kbsS3USu_w,IgCwdvf8RTNUkcUhylBGBg,1.0
OJpq72qg9o8-MDTXbows-w,WARb17HevgrkmZDDRXRhGw,5.0
YOGlBziOK4rx2keYJu2ENQ,EbBQI254WN0AoH-y21-gCA,5.0
AREIIeOcekgd_v1-H74EtQ,4LxrCAMxPhoFGCAF-dvWqQ,5.0
7n_w1Sjb_YCb9fBE7QPesQ,sZpCsqIbCfHr-CziYw-O1g,5.0
JhSBeMfoxfBvowqysTLaew,7m6eMVvrMx1DKiXxocYaNg,2.0
VdTTDbf9cPQtE69mKBBhdw,fzOy2gQYML9Pb9XVzWAL2g,4.0
sDBrQ_pfoVfCQi_R1krToA,EIy9vk7eeIpPHRjD1-PnNw,5.0
iAgQzZxOVQHNgYVd7daifg,EIy9vk7eeIpPHRjD1-PnNw,5.0
Jqqul7Qb8VqEmEwH6iuVnQ,z-s_l9SLZiqhAArcdkYOaw,5.0
agdwltrVIiRHedYMwh6kkA,rugMei20nwoL-Qi-mpuxVA,5.0
9W2GoFpqDxZ1VlpqQI7TOg,EDODTmZbECNOErpUFgYk9Q,5.0
vOssX3-YwoP4DgdL7uFEHA,EbBQI254WN0AoH-y21-gCA,5.0
RsihH1vtiGNEP0iQ9QNFCg,my0bmPD5dgDFE1ia__LNlw,1.0
bP5C9B_B3yLcK8cBtW8Jag,fzOy2gQYML9Pb9XVzWAL2g,2.0
j0B8nz6TVmLzqYN6lNLiiQ,cV6qQ58k6hPYci5n8jxX5Q,5.0
uidXeuPKxJdQcKpq0PuR-A,my0bmPD5dgDFE1ia__LNlw,1.0
17ImfrGetgXLvLtRKqYVIg,xaiOUSSSf9rbYz_4e6dIcg,1.0
